e,d,theta_impact,v_impact,u_*,u_*th,p,rho_f,rho_s,sediment,nu,T,g,gamma,molecular_mass,fluid1,flow_depth,tunnel,ref,reffull
unitless,m,degrees,m/s,m/s,m/s,Pa,kg/m^3,kg/m^3,word,m^2/s,K,m/s^2,unitless,g/mol,word,m,word,word,string
0.806933652121936,0.006,10,18.0226927311903,-9999,-9999,100971.25,1.1999,1768.38825657662,PVC,1.51041967690741E-05,293.15,9.81,1.4,28.964,air,-9999,-9999,beladjine2007,"Beladjine et al., 2007"
0.77106993424985,0.006,10,20.0163250673937,-9999,-9999,100971.25,1.1999,1768.38825657662,PVC,1.51041967690741E-05,293.15,9.81,1.4,28.964,air,-9999,-9999,beladjine2007,"Beladjine et al., 2007"
0.779438135086671,0.006,10,22.0102573795893,-9999,-9999,100971.25,1.1999,1768.38825657662,PVC,1.51041967690741E-05,293.15,9.81,1.4,28.964,air,-9999,-9999,beladjine2007,"Beladjine et al., 2007"
0.77106993424985,0.006,10,24.017639966675,-9999,-9999,100971.25,1.1999,1768.38825657662,PVC,1.51041967690741E-05,293.15,9.81,1.4,28.964,air,-9999,-9999,beladjine2007,"Beladjine et al., 2007"
0.783024506873879,0.006,10,26.0251603805679,-9999,-9999,100971.25,1.1999,1768.38825657662,PVC,1.51041967690741E-05,293.15,9.81,1.4,28.964,air,-9999,-9999,beladjine2007,"Beladjine et al., 2007"
0.74596533173939,0.006,10,29.0360680582819,-9999,-9999,100971.25,1.1999,1768.38825657662,PVC,1.51041967690741E-05,293.15,9.81,1.4,28.964,air,-9999,-9999,beladjine2007,"Beladjine et al., 2007"
0.739988045427376,0.006,10,39.0325328795291,-9999,-9999,100971.25,1.1999,1768.38825657662,PVC,1.51041967690741E-05,293.15,9.81,1.4,28.964,air,-9999,-9999,beladjine2007,"Beladjine et al., 2007"
0.577352413717381,0.000513,13.94,2.7323,0.4,NotReported,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,0.5,Aberdeen,rice1995,"Rice et al., 1995"
0.577352413717381,0.000513,14.75,2.7013,0.4,NotReported,101206.97,1.2027,2650,quartz,1.50690327622949E-05,293.15,9.81,1.4,28.964,air,0.5,Aberdeen,rice1995,"Rice et al., 1995"
